csúcsid;alcsúcsid;MEGNEVEZES;alcsúcsid_megnevezes;MERTEKEGYSEG;kapcsolat
m1049;9;Szív-érbetegség / cukorbetegség /  testsúly elemzés;nem értelmezhetõ;NULL;
m1049;10;Szív-érbetegség / cukorbetegség /  testsúly elemzés;nincs szívbet., nincs cukorbet, nem túltáplált;NULL;
m1049;11;Szív-érbetegség / cukorbetegség /  testsúly elemzés;nincs szívbet., nincs cukorbet, túltáplált;NULL;
m1049;12;Szív-érbetegség / cukorbetegség /  testsúly elemzés;nincs szívbet., van cukorbet, nem túltáplált;NULL;
m1049;13;Szív-érbetegség / cukorbetegség /  testsúly elemzés;nincs szívbet., van cukorbet, túltáplált;NULL;
m1049;14;Szív-érbetegség / cukorbetegség /  testsúly elemzés;van szívbet., nincs cukorbet, nem túltáplált;NULL;
m1049;15;Szív-érbetegség / cukorbetegség /  testsúly elemzés;van szívbet., nincs cukorbet, túltáplált;NULL;
m1049;16;Szív-érbetegség / cukorbetegség /  testsúly elemzés;van szívbet., van cukorbet, nem túltáplált;NULL;
m1050;0;Szív-érbetegség / cukorbetegség /  testsúly elemzés;van szívbet., van cukorbet, túltáplált;NULL;
m1050;1;Rossz lipid érték / koleszterin betegség / gyógyszerszedés kapcsolata;mért érték nem magas, kol.bet nincs, gyógysz. nem szed;NULL;
m1050;2;Rossz lipid érték / koleszterin betegség / gyógyszerszedés kapcsolata;mért érték nem magas, kol.bet van, gyógysz. nem szed;NULL;
m1050;3;Rossz lipid érték / koleszterin betegség / gyógyszerszedés kapcsolata;mért érték nem magas, kol.bet van, gyógysz. szed;NULL;
m1050;4;Rossz lipid érték / koleszterin betegség / gyógyszerszedés kapcsolata;mért érték magas, kol.bet nincs, gyógysz. nem szed;NULL;
m1051;0;Rossz lipid érték / koleszterin betegség / gyógyszerszedés kapcsolata;mért érték magas, kol.bet van, gyógysz. nem szed;NULL;
m1051;1;Rossz lipid érték / koleszterin betegség / gyógyszerszedés kapcsolata;mért érték magas, kol.bet van, gyógysz. szed;NULL;
m1051;2;Rossz lipid érték / koleszterin betegség / gyógyszerszedés kapcsolata;nem kiértékelhetõ;NULL;
m1051;3;Betegség dohányzás kapcsolata;Nem besorolható;NULL;
m1051;4;Betegség dohányzás kapcsolata;van krónikus betegség és doh.;NULL;
m1051;5;Betegség dohányzás kapcsolata;van krónikus betegség és nem doh.;NULL;
m1051;6;Betegség dohányzás kapcsolata;nincs krónikus betegség és doh.;NULL;
m1051;7;Betegség dohányzás kapcsolata;nincs krónikus betegség és nem doh.;NULL;
m1051;8;Éhomi vércukorszint besorolás;Nem besorolható;NULL;
m1051;9;Éhomi vércukorszint besorolás;normális;NULL;
m1051;10;Éhomi vércukorszint besorolás;emelkedett;NULL;
m1051;11;Étkezés utáni vércukorszint besorolás;Nem besorolható;NULL;
m1051;12;Étkezés utáni vércukorszint besorolás;normális;NULL;
m1051;13;Étkezés utáni vércukorszint besorolás;emelkedett;NULL;
m1051;14;Koleszterinszint besorolása (-4.8-5-6-8-);nem besorolható;NULL;
m1051;15;Koleszterinszint besorolása (-4.8-5-6-8-);normális;NULL;
m1051;16;Koleszterinszint besorolása (-4.8-5-6-8-);magas-normális;NULL;
m1052;0;Koleszterinszint besorolása (-4.8-5-6-8-);emelkedett;NULL;
m1052;1;Koleszterinszint besorolása (-4.8-5-6-8-);jelentõsen emelkedett;NULL;
m1052;2;Koleszterinszint besorolása (-4.8-5-6-8-);magas;NULL;
m1052;3;Húgysav besorolás;nem besorolható;NULL;
m1052;4;Húgysav besorolás;1. fokozat;NULL;
m1052;5;Húgysav besorolás;2. fokozat;NULL;
m1052;6;Húgysav besorolás;3. fokozat;NULL;
m1052;7;Húgysav besorolás;kóros 1.;NULL;
m1052;8;Húgysav besorolás;kóros 2.;NULL;
m1053;0;Húgysav besorolás;Kóros 3.;NULL;
m1053;1;Haskörfogat - Metabolikus szindr paraméterek besorolás;nem kiértékelhetõ;NULL;
m1053;2;Haskörfogat - Metabolikus szindr paraméterek besorolás;"normál haskörfogat; kevés met.kockázat";NULL;
m1053;3;Haskörfogat - Metabolikus szindr paraméterek besorolás;"normál haskörfogat; sok met.kockázat";NULL;
m1053;99;Haskörfogat - Metabolikus szindr paraméterek besorolás;"enyhén emelkedett haskörfogat; kevés met.kockázat";NULL;
m1054;0;Haskörfogat - Metabolikus szindr paraméterek besorolás;"enyhén emelkedett haskörfogat; sok met.kockázat";NULL;
m1054;1;Haskörfogat - Metabolikus szindr paraméterek besorolás;"erõsen emelkedett haskörfogat; kevés met.kockázat";NULL;
m1054;2;Haskörfogat - Metabolikus szindr paraméterek besorolás;"erõsen emelkedett haskörfogat; sok met.kockázat";NULL;
m1054;3;Mért értékekb?l adódó kockázati tényezok száma;nem számítható;NULL;
m1054;4;Mért értékekb?l adódó kockázati tényezok száma;darabszám;NULL;
m1054;5;Betegség/MS besorolás/kock.tényezok besorolása;nem kiszámolható;NULL;
m1054;6;Betegség/MS besorolás/kock.tényezok besorolása;nincs betegség / nincs MS / nincs kock.tény.;NULL;
m1054;7;Betegség/MS besorolás/kock.tényezok besorolása;nincs betegség / nincs MS / 1 db kock.tény.;NULL;
m1054;8;Betegség/MS besorolás/kock.tényezok besorolása;nincs betegség / nincs MS / 2 db kock.tény.;NULL;
m1054;9;Betegség/MS besorolás/kock.tényezok besorolása;nincs betegség / nincs MS / 2-nél több kock.tény.;NULL;
m1054;10;Betegség/MS besorolás/kock.tényezok besorolása;nincs betegség / van MS / nincs kock.tény.;NULL;
m1055;0;Betegség/MS besorolás/kock.tényezok besorolása;nincs betegség / van MS / 1 db kock.tény.;NULL;
m1055;1;Betegség/MS besorolás/kock.tényezok besorolása;nincs betegség / van MS / 2 db kock.tény.;NULL;
m1055;2;Betegség/MS besorolás/kock.tényezok besorolása;nincs betegség / van MS / 2-nél több kock.tény.;NULL;
m1055;3;Betegség/MS besorolás/kock.tényezok besorolása;van betegség / nincs MS / nincs kock.tény.;NULL;
m1055;4;Betegség/MS besorolás/kock.tényezok besorolása;van betegség / nincs MS / 1 db kock.tény.;NULL;
m1055;5;Betegség/MS besorolás/kock.tényezok besorolása;van betegség / nincs MS / 2 db kock.tény.;NULL;
m1055;6;Betegség/MS besorolás/kock.tényezok besorolása;van betegség / nincs MS / 2-nél több kock.tény.;NULL;
m1055;7;Betegség/MS besorolás/kock.tényezok besorolása;van betegség / van MS / nincs kock.tény.;NULL;
m1055;8;Betegség/MS besorolás/kock.tényezok besorolása;van betegség / van MS / 1 db kock.tény.;NULL;
m1056;0;Betegség/MS besorolás/kock.tényezok besorolása;van betegség / van MS / 2 db kock.tény.;NULL;
m1056;1;Betegség/MS besorolás/kock.tényezok besorolása;van betegség / van MS / 2-nél több kock.tény.;NULL;
m1056;2;Betegség - MS kockázati tényezok besorolása;nem beteg, nincs MS kockázati tényezõ;NULL;
m1057;0;Betegség - MS kockázati tényezok besorolása;nem beteg, 1 MS kockázati tényezõvel;NULL;
m1057;1;Betegség - MS kockázati tényezok besorolása;nem beteg, 2 MS kockázati tényezõvel;NULL;
m1057;2;Betegség - MS kockázati tényezok besorolása;nem beteg, MS kimondható (3 vagy tobb kock. tény.);NULL;
m1057;3;Betegség - MS kockázati tényezok besorolása;van krónikus betegsége;NULL;
m1057;4;MS kockázati tényezok együtállása;nem beteg, nincs kockázati tényezõ;NULL;
m1057;5;MS kockázati tényezok együtállása;nem beteg, csak testsúly kockázat;NULL;
m1057;6;MS kockázati tényezok együtállása;nem beteg, csak lipid kockázati tényezõ;NULL;
m1058;0;MS kockázati tényezok együtállása;nem beteg, csak vérnyomás kockázati tényezõ;NULL;
m1058;1;MS kockázati tényezok együtállása;nem beteg, csak cukorszint kockázati tényezõ;NULL;
m1058;2;MS kockázati tényezok együtállása;nem beteg, két MS kock. tény (testsúly, lipidek);NULL;
m1058;3;MS kockázati tényezok együtállása;nem beteg, két MS kock. tény (testsúly, vérnyomás);NULL;
m1058;4;MS kockázati tényezok együtállása;nem beteg, két MS kock. tény (testsúly, vércukor);NULL;
m1058;5;MS kockázati tényezok együtállása;nem beteg, két MS kock. tény (lipidek, vérnyomás);NULL;
m1058;6;MS kockázati tényezok együtállása;nem beteg, két MS kock. tény (lipidek, vércukor);NULL;
m1059;0;MS kockázati tényezok együtállása;nem beteg, két MS kock. tény (vérnyomás, vércukor);NULL;m1062,m1065,m1068,m1066,
m1059;1;MS kockázati tényezok együtállása;nem beteg, 3 MS kock. tény (testsúly, lipid, vérnyomás);NULL;m1062,m1065,m1068,m1066,
m1059;2;MS kockázati tényezok együtállása;nem beteg, 3 MS kock. tény (testsúly, lipid, vércukor);NULL;m1062,m1065,m1068,m1066,
m1059;3;MS kockázati tényezok együtállása;nem beteg, 3 MS kock. tény (lipid, vérnyomás, vércukor);NULL;m1062,m1065,m1068,m1066,
m1059;4;MS kockázati tényezok együtállása;nem beteg, 3 MS kock. tény (testsúly, vérnyomás, vércukor);NULL;m1062,m1065,m1068,m1066,
m1060;0;MS kockázati tényezok együtállása;nem beteg, 4 MS kockázati tényezõ;NULL;
m1060;1;MS kockázati tényezok együtállása;beteg;NULL;
m1060;2;Koleszterin kockázati tényezo együttállásai;nem beteg, csak a lipidszint a kockázat;NULL;
m1061;0;Koleszterin kockázati tényezo együttállásai;nem beteg, lipid és testsúly kockázat;NULL;
m1061;1;Koleszterin kockázati tényezo együttállásai;nem beteg, lipid és vérnyomás kockázat;NULL;
m1061;2;Koleszterin kockázati tényezo együttállásai;nem beteg, lipid és vércukor kockázat;NULL;
m1062;-1;Koleszterin kockázati tényezo együttállásai;nem beteg, lipid, testsúly és vérnyomás kockázat;NULL;
m1062;0;Koleszterin kockázati tényezo együttállásai;nem beteg, lipid, testsúly és vércukor kockázat;NULL;
m1063;-1;Koleszterin kockázati tényezo együttállásai;nem beteg, lipid, testsúly, vérnyomás és vércukor kockázat;NULL;
m1063;0;Koleszterin kockázati tényezo együttállásai;nem beteg, a lipid szintek nem kockázati tényezõk;NULL;
m1064;-1;Koleszterin kockázati tényezo együttállásai;beteg;NULL;
m1064;0;Hypertóniás betegcsoportok;Nincs hypertónia, vérnyomás normális;NULL;
m1065;-1;Hypertóniás betegcsoportok;Nincs hypertónia, vérnyomás emelkedett;NULL;m1066,
m1065;0;Hypertóniás betegcsoportok;Van hypertónia, vérnyomás normális;NULL;m1066,
m1065;1;Hypertóniás betegcsoportok;Van hypertónia, vérnyomás emelkedett;NULL;m1066,
m1065;2;Hypertóniás betegcsoportok;nem kiértékelhetõ;NULL;m1066,
m1065;3;MS kockázati tényezok darabszámai;nem beteg, nincs MS kockázati tényezõ;NULL;m1066,
m1065;4;MS kockázati tényezok darabszámai;nem beteg, 1 MS kockázati tényezõvel;NULL;m1066,
m1066;0;MS kockázati tényezok darabszámai;nem beteg, 2 MS kockázati tényezõvel;NULL;
m1066;1;MS kockázati tényezok darabszámai;nem beteg, 3 MS kockázati tényezõvel;NULL;
m1066;2;MS kockázati tényezok darabszámai;nem beteg, 4 vagy több MS kockázati tényezõvel;NULL;
m1067;0;MS kockázati tényezok darabszámai;beteg, nincs MS kockázati tényezõ;NULL;m1062,
m1067;1;MS kockázati tényezok darabszámai;beteg, 1 MS kockázati tényezõvel;NULL;m1062,
m1067;2;MS kockázati tényezok darabszámai;beteg, 2 MS kockázati tényezõvel;NULL;m1062,
m1067;3;MS kockázati tényezok darabszámai;beteg, 3 MS kockázati tényezõvel;NULL;m1062,
m1067;4;MS kockázati tényezok darabszámai;beteg, 4 vagy több MS kockázati tényezõvel;NULL;m1062,
m1067;5;MS kockázati tényezok darabszámai;nem értelmezhetõ;NULL;m1062,
m1068;-1;Korcsoport besorolások 10 éves bontásokban (-18-25-35-45-55-65-75-);nem besorolható;NULL;
m1068;0;Korcsoport besorolások 10 éves bontásokban (-18-25-35-45-55-65-75-);fiatal korú;NULL;
m1068;1;Korcsoport besorolások 10 éves bontásokban (-18-25-35-45-55-65-75-);18-25;NULL;
m1068;2;Korcsoport besorolások 10 éves bontásokban (-18-25-35-45-55-65-75-);26-35;NULL;
m1068;3;Korcsoport besorolások 10 éves bontásokban (-18-25-35-45-55-65-75-);36-45;NULL;
m1069;0;Korcsoport besorolások 10 éves bontásokban (-18-25-35-45-55-65-75-);46-55;NULL;
m1069;1;Korcsoport besorolások 10 éves bontásokban (-18-25-35-45-55-65-75-);56-65;NULL;
m1069;2;Korcsoport besorolások 10 éves bontásokban (-18-25-35-45-55-65-75-);66-75;NULL;
m1069;3;Korcsoport besorolások 10 éves bontásokban (-18-25-35-45-55-65-75-);76-;NULL;
m1070;0;Jelölt-e be krónikus megbetegedését?;nem;NULL;
m1070;1;Jelölt-e be krónikus megbetegedését?;igen;NULL;
m1070;2;Jelölt-e be krónikus megbetegedését?;nem ismert;NULL;
m1070;3;korcsoport bontás (18-30-45-60-75-);nem besorolható;Év;
m1071;0;korcsoport bontás (18-30-45-60-75-);fiatal korú;Év;
m1071;1;korcsoport bontás (18-30-45-60-75-);18-30;Év;
m1071;2;korcsoport bontás (18-30-45-60-75-);31-45;Év;
m1071;3;korcsoport bontás (18-30-45-60-75-);46-60;Év;
m1072;0;korcsoport bontás (18-30-45-60-75-);61-75;Év;
m1072;1;korcsoport bontás (18-30-45-60-75-);75 felett;Év;
m1072;2;korcsoport bontás (18-30-50-65-75-);nem besorolható;Év;
m1072;3;korcsoport bontás (18-30-50-65-75-);fiatal korú;Év;
m1072;4;korcsoport bontás (18-30-50-65-75-);18-30;Év;
m1072;5;korcsoport bontás (18-30-50-65-75-);31-50;Év;
m1072;6;korcsoport bontás (18-30-50-65-75-);51-65;Év;
m1105;0;korcsoport bontás (18-30-50-65-75-);66-75;Év;
m1105;1;korcsoport bontás (18-30-50-65-75-);75 felett;Év;
m1105;2;vércukor besorolás -5.6-6.1-7.1-;nem besorolható;NULL;
m1105;3;vércukor besorolás -5.6-6.1-7.1-;normális;NULL;
m1106;0;vércukor besorolás -5.6-6.1-7.1-;emelkedett;NULL;
m1106;1;vércukor besorolás -5.6-6.1-7.1-;magas;NULL;
m1106;2;vércukor besorolás -5.6-6.1-7.1-;igen magas;NULL;
m1106;3;vérnyomás besorolás (durva);nem besorolható;NULL;
m1106;4;vérnyomás besorolás (durva);normális;NULL;
m1106;5;vérnyomás besorolás (durva);magas;NULL;
m1107;0;Budapest/vidék;nem értelmezhetõ;NULL;
m1107;1;Budapest/vidék;Budapest;NULL;
m1107;2;Budapest/vidék;Vidék;NULL;
m1107;3;MS kockázati paraméterek száma (hask);nem besorolható;NULL;
m1108;0;MS kockázati paraméterek száma (hask);darabszám;NULL;
m1108;1;MS kockázati paraméterek száma (BMI);nem besorolható;NULL;
m1108;2;MS kockázati paraméterek száma (BMI);darabszám;NULL;
m1109;0;MS kockázati paraméterek száma (testzsír%);nem besorolható;NULL;
m1109;1;MS kockázati paraméterek száma (testzsír%);darabszám;NULL;
m1109;2;Metabolikus szindroma kockázatok száma (KE);nem kiértékelhetõ;NULL;
m1110;0;Metabolikus szindroma kockázatok száma (KE);0;NULL;
m1110;1;Metabolikus szindroma kockázatok száma (KE);1;NULL;
m1110;2;Metabolikus szindroma kockázatok száma (KE);2;NULL;
m1111;0;Metabolikus szindroma kockázatok száma (KE);3;NULL;
m1111;1;Metabolikus szindroma kockázatok száma (KE);4;NULL;
m1111;2;Metabolikus szindróma fennáll (KE);MS-hoz kevés kock.tényezõszám;NULL;
m1112;0;Metabolikus szindróma fennáll (KE);MS-hoz megvan a 3 kock.tényezõ;NULL;
m1112;1;Metabolikus szindróma fennáll (KE);nem kiértékelhetõ;NULL;
m1112;2;koleszterinszin besorolás (KE) -4.8-5.2-6-;nem besorolható;NULL;
m1114;0;koleszterinszin besorolás (KE) -4.8-5.2-6-;normális;NULL;
m1114;1;koleszterinszin besorolás (KE) -4.8-5.2-6-;magas-normális;NULL;
m1114;2;koleszterinszin besorolás (KE) -4.8-5.2-6-;emelkedett;NULL;
m1115;0;koleszterinszin besorolás (KE) -4.8-5.2-6-;jelentõsen emelkedett;NULL;
m1115;1;koleszterinszin besorolás (KE) -4.8-5.2-6-;magas;NULL;
m1115;2;MS kockázati paraméterek koleszterin nélkül (KE);nem besorolható;NULL;
m1115;3;MS kockázati paraméterek koleszterin nélkül (KE);darabszám;NULL;
m1115;4;MS kockázati paraméterek koleszterin nélkül (KE);NULL;NULL;
m1115;5;MS kockázati paraméterek koleszterin nélkül (KE);NULL;NULL;
m1115;6;MS kockázati paraméterek koleszterin nélkül (KE);NULL;NULL;
m1115;7;Haskörfogat összevont besorolás;Nem besorolható;NULL;
m1116;0;Haskörfogat összevont besorolás;normális;NULL;
m1116;1;Haskörfogat összevont besorolás;veszélyeztetett;NULL;
m1116;2;Haskörfogat összevont besorolás;erosen veszélyeztetett;NULL;
m1117;0;Koleszterin besorolás (Un);nem besorolható;NULL;
m1117;1;Koleszterin besorolás (Un);normális;NULL;
m1117;2;Koleszterin besorolás (Un);emelkedett;NULL;
m1118;0;Koleszterin besorolás (Un);magas;NULL;
m1118;1;Vércukor besorolás -5.6-7.1-;nem számítható;NULL;
m1118;2;Vércukor besorolás -5.6-7.1-;5.6 alatt;NULL;
m1119;0;Vércukor besorolás -5.6-7.1-;5.6 - 7.1 között;NULL;
m1119;1;Vércukor besorolás -5.6-7.1-;7.1 felett;NULL;
m1119;2;Korcsoport besorolás -18-30-45-60-75-;nem értelmezhetõ;NULL;
m1120;0;Korcsoport besorolás -18-30-45-60-75-;kiskorú;NULL;
m1120;1;Korcsoport besorolás -18-30-45-60-75-;18-29;NULL;
m1120;2;Korcsoport besorolás -18-30-45-60-75-;30-44;NULL;
m1121;0;Korcsoport besorolás -18-30-45-60-75-;45-59;NULL;
m1121;1;Korcsoport besorolás -18-30-45-60-75-;60-74;NULL;
m1121;2;Korcsoport besorolás -18-30-45-60-75-;75 felett;NULL;
m1122;0;Elõjegyzési napló idõpont;NULL;NULL;
m1122;1;Csatolt állomány;NULL;NULL;
m1122;2;Beleegyezõ nyilatkozat aláírásának dátuma;NULL;NULL;
m1123;0;Testhõmérséklet;NULL;Cels. fok;
m1123;1;Testhõmérséklet besorolások;Nem ismert;NULL;
m1123;2;Testhõmérséklet besorolások;Normál;NULL;
m1124;0;Testhõmérséklet besorolások;Hõemelkedés;NULL;
m1124;1;Testhõmérséklet besorolások;Láz;NULL;
m1124;2;Köhögés gyakorisága;Nem ismert;NULL;
m1125;0;Köhögés gyakorisága;5 perc vagy annál gyakrabban;NULL;
m1125;1;Köhögés gyakorisága;5-15 percenként;NULL;
m1125;2;Köhögés gyakorisága;15-30 percenként;NULL;
m1126;0;Köhögés gyakorisága;30 percnél ritkábban;NULL;
m1126;1;Köhögés gyakorisága;rohamszerû;NULL;
m1126;2;Orrváladék mennyisége;Nem ismert;NULL;
m1127;0;Orrváladék mennyisége;Kevés;NULL;
m1127;1;Orrváladék mennyisége;közepes;NULL;
m1127;2;Orrváladék mennyisége;nagy mennyiségû;NULL;
m1130;0;Rekedtség?;nem;NULL;
m1130;1;Rekedtség?;igen;NULL;
m1130;2;Rekedtség?;Nem ismert;NULL;
m1131;0;Hurut?;nem;NULL;
m1131;1;Hurut?;igen;NULL;
m1131;2;Hurut?;Nem ismert;NULL;
m1132;0;Dyspnoe? (nehézlégzés, légszomj);nem;NULL;
m1132;1;Dyspnoe? (nehézlégzés, légszomj);igen;NULL;
m1132;2;Dyspnoe? (nehézlégzés, légszomj);Nem ismert;NULL;
m1133;0;Tachypnoe? (gyorsult légzés);nem;NULL;
m1133;1;Tachypnoe? (gyorsult légzés);igen;NULL;
m1133;2;Tachypnoe? (gyorsult légzés);Nem ismert;NULL;
m1134;0;Horkolás?;nem;NULL;
m1134;1;Horkolás?;igen;NULL;
m1134;2;Horkolás?;Nem ismert;NULL;
m1135;0;Tárgynapi gyógyszerelés;NULL;NULL;
m1135;1;Mérés/vizsgálat testhelyzete;Nem ismert;NULL;
m1135;2;Mérés/vizsgálat testhelyzete;Álló vagy ülõ;NULL;
m1136;0;Mérés/vizsgálat testhelyzete;Fekvõ;NULL;
m1136;1;Hallgatózás során megállapítható;Nem ismert;NULL;
m1136;2;Hallgatózás során megállapítható;Puha sejtes alaplégzés;NULL;
m1137;0;Hallgatózás során megállapítható;Érdes sejtes alaplégzés;NULL;
m1137;1;Hallgatózás során megállapítható;Sípolás, búgás;NULL;
m1137;2;Hallgatózás során megállapítható;Vezetett zörej;NULL;
m1138;0;Hallgatózás során megállapítható;Vegyes hólyagú, nedves zörej;NULL;
m1138;1;Hallgatózás során megállapítható;Krepitáció (léghólyagocskákban keletkezõ zörej);NULL;
m1138;2;Hallgatózás során megállapítható;Egyéb:;NULL;
m1139;0;Köhögés: Száraz, éles szúró;nem;NULL;
m1139;1;Köhögés: Száraz, éles szúró;igen;NULL;
m1139;2;Köhögés: Száraz, éles szúró;Nem ismert;NULL;
m1140;0;Köhögés: Gyakori, nedves, hurutos, nem fájdalmas;nem;NULL;
m1140;1;Köhögés: Gyakori, nedves, hurutos, nem fájdalmas;igen;NULL;
m1140;2;Köhögés: Gyakori, nedves, hurutos, nem fájdalmas;Nem ismert;NULL;
m1144;0;Köhögés: Mély hangú, ugató, mely éjszaka, hajnalban kezdõdik;nem;NULL;
m1144;1;Köhögés: Mély hangú, ugató, mely éjszaka, hajnalban kezdõdik;igen;NULL;
m1144;2;Köhögés: Mély hangú, ugató, mely éjszaka, hajnalban kezdõdik;Nem ismert;NULL;
m1144;3;Köhögés: Száraz, ingerköhögés;nem;NULL;
m1144;4;Köhögés: Száraz, ingerköhögés;igen;NULL;
m1144;5;Köhögés: Száraz, ingerköhögés;Nem ismert;NULL;
m1144;6;Köhögés: Asztmás, asztmatikus;nem;NULL;
m1144;7;Köhögés: Asztmás, asztmatikus;igen;NULL;
m1144;8;Köhögés: Asztmás, asztmatikus;Nem ismert;NULL;
m1144;9;Köhögés: Száraz, krákogó, köhintõ jellegû, a környezetet zavaró;nem;NULL;
m1144;10;Köhögés: Száraz, krákogó, köhintõ jellegû, a környezetet zavaró;igen;NULL;
m1144;11;Köhögés: Száraz, krákogó, köhintõ jellegû, a környezetet zavaró;Nem ismert;NULL;
m1144;12;Köhögés: Sorozatos, kínzó kiköhögéseket, egy levegõért kapkodó, mély belégzés követ;nem;NULL;
m1144;13;Köhögés: Sorozatos, kínzó kiköhögéseket, egy levegõért kapkodó, mély belégzés követ;igen;NULL;
m1144;14;Köhögés: Sorozatos, kínzó kiköhögéseket, egy levegõért kapkodó, mély belégzés követ;Nem ismert;NULL;
m1144;15;Köhögés: Száraz, kínzó, szegycsont mögött égõ fájdalmat okoz;nem;NULL;
m1144;16;Köhögés: Száraz, kínzó, szegycsont mögött égõ fájdalmat okoz;igen;NULL;
m1145;0;Köhögés: Száraz, kínzó, szegycsont mögött égõ fájdalmat okoz;Nem ismert;NULL;
m1145;1;Köhögés: Visszatartott, fájdalmas mellkasi szúrással társuló;nem;NULL;
m1145;2;Köhögés: Visszatartott, fájdalmas mellkasi szúrással társuló;igen;NULL;
m1145;3;Köhögés: Visszatartott, fájdalmas mellkasi szúrással társuló;Nem ismert;NULL;
m1145;4;Köhögés: Elhúzódó, nedves, szakadozó;nem;NULL;
m1145;5;Köhögés: Elhúzódó, nedves, szakadozó;igen;NULL;
m1145;6;Köhögés: Elhúzódó, nedves, szakadozó;Nem ismert;NULL;
m1145;7;Köhögés: Gyenge, száraz köhécselés, majd habos nyálürítéssel társuló;nem;NULL;
m1145;8;Köhögés: Gyenge, száraz köhécselés, majd habos nyálürítéssel társuló;igen;NULL;
m1145;9;Köhögés: Gyenge, száraz köhécselés, majd habos nyálürítéssel társuló;Nem ismert;NULL;
m1145;10;Köhögés: Kéthangú;nem;NULL;
m1145;11;Köhögés: Kéthangú;igen;NULL;
m1145;12;Köhögés: Kéthangú;Nem ismert;NULL;
m1145;13;Köhögést rögzítõ hangfelvétel;NULL;NULL;
m1145;14;Sírást rögzítõ hangfelvétel;NULL;NULL;
m1145;15;Sírás egyéb kísérõ körülménye: Éhségérzet;nem;NULL;
m1145;16;Sírás egyéb kísérõ körülménye: Éhségérzet;igen;NULL;
m1151;0;Sírás egyéb kísérõ körülménye: Éhségérzet;Nem ismert;NULL;
m1151;1;Sírás egyéb kísérõ körülménye: Félelem;nem;NULL;
m1151;2;Sírás egyéb kísérõ körülménye: Félelem;igen;NULL;
m1151;3;Sírás egyéb kísérõ körülménye: Félelem;Nem ismert;NULL;
m1152;0;Sírás egyéb kísérõ körülménye: Injekció adása;nem;NULL;
m1152;1;Sírás egyéb kísérõ körülménye: Injekció adása;igen;NULL;
m1152;2;Sírás egyéb kísérõ körülménye: Injekció adása;Nem ismert;NULL;
m1153;0;Sírás egyéb kísérõ körülménye: Hasi fájdalom;nem;NULL;
m1153;1;Sírás egyéb kísérõ körülménye: Hasi fájdalom;igen;NULL;
m1153;2;Sírás egyéb kísérõ körülménye: Hasi fájdalom;Nem ismert;NULL;
m1154;0;Sírás egyéb kísérõ körülménye: Fájdalom;nem;NULL;
m1154;1;Sírás egyéb kísérõ körülménye: Fájdalom;igen;NULL;
m1154;2;Sírás egyéb kísérõ körülménye: Fájdalom;Nem ismert;NULL;
m1155;0;Sírás egyéb kísérõ körülménye: Fülfájás;nem;NULL;
m1155;1;Sírás egyéb kísérõ körülménye: Fülfájás;igen;NULL;
m1155;2;Sírás egyéb kísérõ körülménye: Fülfájás;Nem ismert;NULL;
m1156;0;Sírás egyéb kísérõ körülménye: Kruppos köhögés;nem;NULL;
m1156;1;Sírás egyéb kísérõ körülménye: Kruppos köhögés;igen;NULL;
m1156;2;Sírás egyéb kísérõ körülménye: Kruppos köhögés;Nem ismert;NULL;
m1156;3;Sírás egyéb kísérõ körülménye:;nem;NULL;
m1156;4;Sírás egyéb kísérõ körülménye:;igen;NULL;
m1158;0;Sírás egyéb kísérõ körülménye:;Nem ismert;NULL;
m1158;1;Szívhangot rögzítõ hangfelvétel az elsõ hallgatózási helyen;NULL;NULL;
m1158;2;Szívhangot rögzítõ hangfelvétel a második hallgatózási helyen;NULL;NULL;
m1158;3;Szívhangot rögzítõ hangfelvétel a harmadik hallgatózási helyen;NULL;NULL;
m1158;4;Kardiológiai diagnózis (SCI-Net szívhang);Nem ismert;NULL;
m1158;5;Kardiológiai diagnózis (SCI-Net szívhang);Egészséges;NULL;
m1158;6;Kardiológiai diagnózis (SCI-Net szívhang);Funkcionális zörej;NULL;
m1158;7;Kardiológiai diagnózis (SCI-Net szívhang);ASD;NULL;
m1158;8;Kardiológiai diagnózis (SCI-Net szívhang);VSD;NULL;
m1158;9;Kardiológiai diagnózis (SCI-Net szívhang);FOA;NULL;
m1158;10;Kardiológiai diagnózis (SCI-Net szívhang);Nyitott ductus Botalli;NULL;
m1158;11;Kardiológiai diagnózis (SCI-Net szívhang);AI;NULL;
m1158;12;Kardiológiai diagnózis (SCI-Net szívhang);AS;NULL;
m1158;13;Kardiológiai diagnózis (SCI-Net szívhang);Mitralis prolapsus;NULL;
m1162;0;Kardiológiai diagnózis (SCI-Net szívhang);TI;NULL;
m1162;1;Kardiológiai diagnózis (SCI-Net szívhang);TS;NULL;
m1162;2;Kardiológiai diagnózis (SCI-Net szívhang);MI;NULL;
m1162;3;Kardiológiai diagnózis (SCI-Net szívhang);MS;NULL;
m1163;0;Kardiológiai diagnózis (SCI-Net szívhang);PI;NULL;m1164,
m1163;1;Kardiológiai diagnózis (SCI-Net szívhang);PS;NULL;m1164,
m1163;2;Kardiológiai diagnózis (SCI-Net szívhang);Egyéb;NULL;m1164,
m1164;0;Ultrahang diagnózis (SCI-Net szívhang);Nem ismert;NULL;
m1164;1;Ultrahang diagnózis (SCI-Net szívhang);Egészséges;NULL;
